1	NC_000001.11
HSCHR12_1_CTG2	NW_003315938.1
HSCHR12_1_CTG2_1	NW_003315939.2
HSCHR12_4_CTG2_1	NW_003315940.1
HSCHR12_2_CTG2_1	NW_003315941.1
HSCHR12_3_CTG2_1	NW_003315942.2
HSCHR12_1_CTG1	NW_003571049.1
HSCHR12_2_CTG2	NW_003571050.1
HSCHR12_5_CTG2_1	NT_187589.1
HSCHR12_6_CTG2_1	NT_187590.1
HSCHR12_4_CTG2	NT_187587.1
HSCHR12_7_CTG2_1	NT_187591.1
HSCHR12_5_CTG2	NT_187588.1
HSCHR13_1_CTG1	NT_187592.1
HSCHR13_1_CTG2	NT_187593.1
HSCHR13_1_CTG3	NT_187594.1
HSCHR13_1_CTG4	NT_187595.1
HSCHR13_1_CTG5	NT_187596.1
HSCHR13_1_CTG6	NT_187597.1
HSCHR14_1_CTG1	NT_187598.1
HSCHR14_2_CTG1	NT_187599.1
HSCHR14_3_CTG1	NT_187600.1
HSCHR14_7_CTG1	NT_187601.1
HSCHR15_1_CTG8	NW_003315943.1
HSCHR15_2_CTG8	NW_003315944.2
HSCHR15_1_CTG3	NT_187603.1
HSCHR15_3_CTG8	NT_187605.1
HSCHR15_5_CTG8	NT_187606.1
HSCHR15_3_CTG3	NT_187604.1
HSCHR15_1_CTG1	NT_187602.1
HSCHR16_1_CTG3_1	NW_003315945.1
HSCHR16_2_CTG3_1	NW_003315946.1
HSCHR16_1_CTG1	NT_187607.1
HSCHR16_CTG2	NT_187610.1
HSCHR16_3_CTG1	NT_187608.1
HSCHR16_4_CTG1	NT_187609.1
HSCHR17_1_CTG5	NT_167251.2
HSCHR17_1_CTG1	NW_003315952.3
HSCHR17_1_CTG4	NW_003315953.2
HSCHR17_2_CTG4	NW_003315954.1
HSCHR17_3_CTG4	NW_003315955.1
HSCHR17_4_CTG4	NW_003871091.1
HSCHR17_5_CTG4	NW_003871092.1
HSCHR17_7_CTG4	NT_187614.1
HSCHR17_8_CTG4	NT_187615.1
HSCHR17_9_CTG4	NT_187616.1
HSCHR17_1_CTG9	NT_187612.1
HSCHR17_1_CTG2	NT_187611.1
HSCHR17_2_CTG2	NT_187613.1
HSCHR18_1_CTG1_1	NW_003315956.1
HSCHR18_1_CTG2	NW_003315957.1
HSCHR18_1_CTG2_1	NW_003315958.1
HSCHR18_2_CTG1_1	NW_003315959.1
HSCHR18_2_CTG2	NW_003315960.1
HSCHR18_2_CTG2_1	NW_003315961.1
HSCHR18_3_CTG2_1	NT_187617.1
HSCHR18_4_CTG1_1	NT_187618.1
HSCHR19_1_CTG2	NW_003315962.1
HSCHR19_1_CTG3_1	NW_003315963.1
HSCHR19_2_CTG2	NW_003315964.2
HSCHR19_3_CTG2	NW_003315965.1
HSCHR19LRC_COX1_CTG3_1	NW_003571054.1
HSCHR19_4_CTG2	NT_187621.1
HSCHR19_2_CTG3_1	NT_187619.1
HSCHR19_3_CTG3_1	NT_187620.1
HSCHR19_5_CTG2	NT_187622.1
HSCHR20_1_CTG1	NW_003315966.2
HSCHR20_1_CTG2	NT_187623.1
HSCHR20_1_CTG3	NT_187624.1
HSCHR20_1_CTG4	NT_187625.1
HSCHR21_1_CTG1_1	NW_003315967.2
HSCHR21_2_CTG1_1	NW_003315968.2
HSCHR21_3_CTG1_1	NW_003315969.2
